Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU
2004-01-01,108.73,90.85,,17393.71,,,21.39,4.15,3.96,174.27916666666667,80.36,0.0
2004-01-02,35.72,45.23,,17380.46,,,21.45,3.9,2.89,137.93083333333334,73.31,0.0
2004-01-03,33.03,46.59,,17379.55,,,19.06,3.15,2.52,122.79625,84.46,0.0
2004-01-04,24.24,67.97,,17382.38,,,19.02,2.93,1.54,131.71125,94.3,0.0
2004-01-05,41.75,83.86,,17396.38,,,17.55,3.27,2.82,188.70541666666668,96.49,3.8
2004-01-06,49.23,98.81,,17416.1,,,18.2,3.82,3.33,179.68583333333333,97.97,7.1
2004-01-07,52.76,44.35,,17433.32,,3.21,15.87,3.76,3.32,208.6075,95.71,2.5
2004-01-08,48.64,78.91,,17432.010000000002,,4.17,17.77,2.65,4.17,183.33666666666667,100.0,11.5
2004-01-09,44.85,99.33,,17428.06,,3.59,18.18,3.6,3.59,154.34666666666666,99.53,2.0
2004-01-10,44.67,71.84,,17420.41,,3.3,19.16,4.14,3.3,163.54416666666665,96.63,0.0
2004-01-11,26.12,95.74,,17437.11,,1.79,19.45,3.69,1.79,164.33458333333334,95.79,0.0
2004-01-12,36.0,90.64,,17459.69,,3.74,19.81,3.04,3.74,140.79,94.28,0.0
2004-01-13,68.18,111.34,,17456.41,,5.05,20.71,2.9,5.05,129.53416666666666,92.79,0.0
2004-01-14,51.7,146.8,,17439.51,,3.22,20.4,4.38,3.22,190.00541666666666,89.06,0.0
2004-01-15,80.91,69.54,,17437.23,,5.09,18.54,6.02,5.09,200.5925,89.96,0.0
2004-01-16,64.07,44.15,,17451.04,,2.8,18.09,5.6,2.8,210.66208333333336,87.68,0.1
2004-01-17,123.73,60.58,,17454.72,,4.87,18.05,5.89,4.87,231.4020833333333,85.48,0.0
2004-01-18,71.9,114.32,,17441.22,,4.5,18.88,4.64,4.5,177.27833333333334,82.12,0.0
2004-01-19,83.2,114.68,,17423.87,,7.12,19.58,4.96,7.12,196.96916666666667,81.19,0.0
2004-01-20,58.85,106.51,,17422.38,,4.38,19.29,4.73,4.38,190.58916666666667,88.58,0.0
2004-01-21,50.48,49.01,,17450.2,,2.35,14.06,4.21,2.35,128.03666666666666,92.64,0.0
2004-01-22,47.59,73.37,,17457.56,,3.02,15.22,5.28,3.02,207.92458333333335,98.8,0.0
2004-01-23,65.48,72.25,,17448.9,,4.15,17.18,5.36,4.15,184.40458333333333,92.9,0.0
2004-01-24,56.07,90.34,,17426.7,,2.6,19.37,4.86,2.6,156.25041666666667,91.27,0.0
2004-01-25,46.39,93.06,,17412.81,,2.47,19.91,4.67,2.47,144.63625,91.1,0.0
2004-01-26,63.75,119.57,,17427.36,,4.46,19.82,4.58,4.46,167.35458333333335,88.24,0.0
2004-01-27,77.32,117.43,,17455.24,,4.47,19.59,5.2,4.47,188.5425,88.48,0.0
2004-01-28,65.28,73.98,,17446.71,,3.87,19.54,5.39,3.87,204.76041666666666,90.63,0.4
2004-01-29,94.3,71.03,,10167.75,,5.18,20.72,3.79,5.18,200.2164285714286,89.89,0.0
2004-01-30,132.21,76.01,,17401.35,,5.53,20.18,4.92,5.53,197.08708333333334,92.23,0.0
2004-01-31,77.89,92.57,,17402.29,,5.02,20.11,4.77,5.02,205.37249999999997,87.36,0.0
2004-02-01,70.54,106.33,,17411.71,,3.14,20.26,4.34,3.14,176.53291666666667,92.25,0.0
2004-02-02,94.37,97.08,,17413.59,,5.48,21.96,4.67,5.48,181.49666666666667,90.14,0.1
2004-02-03,99.07,60.96,,17413.8,,3.93,18.69,3.49,3.93,155.52333333333334,92.8,0.0
2004-02-04,89.85,73.54,,17408.77,,3.14,16.16,3.13,3.14,146.65791666666667,92.08,0.0
2004-02-05,96.61,77.89,,17409.58,,4.76,20.86,5.29,4.76,175.82583333333332,91.67,0.0
